Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
,Argentina,121.02,52.01,37.04,69.81,38.72,19.48,42.09,51.89,98.28
,Australia,189.73,118.09,57.3,76.82,73.39,7.68,35.66,23.15,94.2
,Austria,187.82,89.88,76.77,79.46,72.15,10.64,25.41,21.78,80.36
,Bangladesh,69.3,37.21,35.02,42.55,32.62,12.87,57.08,88.81,71.29
,Belarus,137.86,42.92,75.2,58.87,33.02,14.29,30.29,43.75,64.37
,Belgium,160.81,93.17,57.5,78.3,73.13,6.92,34.61,50.48,85.99
,Bosnia And Herzegovina,122.56,46.52,56.43,52.35,36.19,12.65,26.8,63.53,80.48
,Brazil,103.87,36.31,30.52,55.59,42.64,16.76,42.31,56.1,94.25
,Bulgaria,130.25,51,60.69,55.07,37.37,8.98,28.99,63.57,81.22
,Canada,169.42,105.01,60.52,71.27,68.16,7.88,33.63,27.66,55.79
,Chile,123.8,51.43,52.88,65.22,49.15,13.27,35.55,65.1,90.21
,China,99.87,63.93,63.3,64.18,40.54,30.29,41.64,81.24,78.91
,Colombia,109.94,34.55,47.46,67.63,30.25,19.51,45.28,62.57,96.69
,Croatia,164.69,57.23,75.77,65.6,50.05,12.69,29.88,29.06,89.05
,Cyprus,152.72,67.28,70.38,52.06,58.39,8.01,21.06,54.17,90.87
,Czech Republic,160.37,71.19,74.01,74.47,45.7,14.44,29.74,40.09,77.13
,Denmark,196.47,110.69,75.28,79.22,83.88,7.52,29.6,20.79,82.29
,Ecuador,128.06,40.84,51.09,70.81,41.99,12.01,38.18,56.57,92.59
,Egypt,85.42,23.27,51.47,44.76,29.09,13.6,48.28,86.31,91.98
,Estonia,178.27,76.75,77.83,68.49,50.99,9.07,25.49,19.88,64.28
,Finland,195.06,108.78,77.25,75.27,72.18,7.88,30.62,11.57,62.79
,France,156.1,87.7,53.55,78.34,74.62,13.67,34.55,42.91,89.76
,Georgia,118.42,30.23,79.82,51.73,27.78,13.59,36.55,71.55,84.2
,Germany,184.3,111.99,65.4,73.58,66.57,9.42,30.39,28.42,82.8
,Greece,135.61,48.46,60.71,55.48,56.72,9.96,33.36,52.48,92.93
,Hong Kong,99.58,66.79,81.9,66.93,79.21,49.38,41.09,67.34,83.64
,Hungary,133.06,53.78,64.59,47.62,41.7,12.49,35.83,47.57,79.48
,Iceland,188.12,92.03,76.85,65.66,97.22,6.41,19.49,15.65,68.81
,India,115.41,61.73,57.62,68.21,25.14,11.31,46.21,75.55,65.77
,Indonesia,101.9,31.01,53.74,61.9,36.86,15.05,43.46,64.39,63.76
,Iran,75.22,25.95,50.97,51.86,41.39,24.88,48.02,78.03,70.99
,Ireland,158.34,90.8,53.82,51.44,76.33,7.09,36.53,33.02,88.59
,Israel,152.34,85.96,69.29,72.97,79.54,13.53,35.43,56.93,93.8
,Italy,143.81,73.43,55.65,66.56,69.02,9.45,34.87,54.97,91.26
,Japan,176.46,97.57,84.09,80.48,85.52,12.83,38.64,36.78,85.26
,Jordan,110.71,37.34,57.11,65.44,55.36,8.7,43.54,78.95,89.05
,Kazakhstan,85.88,38.65,35.77,50.2,30.06,11.69,31.64,75.42,39.78
,Kenya,73.14,29.34,37.62,54.98,39.26,31.34,56.11,74.01,99.79
,Latvia,153.59,56.55,63.4,63.73,49.55,8.71,31.07,32.87,74.7
,Lebanon,110.07,50.7,56.62,64.66,59.74,13.49,36.13,87.65,94.74
,Lithuania,158.98,60.44,65.18,68.79,45.41,10.99,26.34,29.84,69.86
,Macedonia,110.42,40.16,60.78,57.33,32.27,13.27,28.98,80.12,76.3
,Malaysia,120.39,70.35,39.34,67.8,39.46,9.67,36.55,62.92,57.92
,Mexico,122.44,47.05,47.49,69.4,34.29,9.97,38.15,66.88,87.55
,Morocco,103.67,39.4,50.47,39.35,34.59,14.45,36.83,68.14,86.09
,Netherlands,186.41,98.04,71.46,75.63,75.22,7.52,29.42,27.34,87.56
,New Zealand,183.07,97.59,59.11,73.71,73.01,8.51,30.72,23.49,95.46
,Norway,179.78,98,66.49,74.36,104.49,8.61,27.24,20.29,71.37
,Pakistan,105.83,36.1,55.42,60.51,18.58,14.14,37.99,74.78,72.99
,Panama,110.04,38.96,54.53,59.86,52.98,12.75,37.33,63.97,67.84
,Peru,88.14,37.42,35.42,56.26,38.82,14.75,49.16,84.6,97.69
,Philippines,88.23,27.21,58.91,66.45,36.97,23.63,43.87,74.55,60.81
,Poland,145.9,66.06,70.33,62.52,39.38,10.95,31.68,52.88,75.85
,Portugal,164.41,53.61,69.89,71.64,50.77,13.04,29.2,30.65,97.55
,Qatar,164.29,119.33,88,73.17,62.22,5.85,31.14,61.62,36.03
,Romania,135.71,54.2,72.16,54.99,36.07,11.2,34.84,56.55,77.62
,Russia,104.05,43.69,58.3,57.64,38.59,11.09,45.25,63.49,42.82
,Saudi Arabia,151.75,110.93,71.78,60.04,48.71,2.85,29.14,66.07,41.42
,Serbia,117.7,37.94,62.37,52.01,36.3,19.41,30.2,58.6,83.23
,Singapore,146.09,88.84,72.3,71.07,80.23,23.13,41.3,32.06,57.45
,Slovakia,154.53,61.83,70.82,60.46,44.65,10.08,28.42,40.64,78.13
,Slovenia,172.32,68.24,77.99,63.75,54.17,10.6,26.7,23.21,76.11
,South Africa,135.75,81.3,22.98,63.27,43.74,3.78,39.88,56.2,95.97
,South Korea,151.19,99.13,70.76,83.59,75.16,16.23,39.6,54.8,68.39
,Spain,173.56,79.81,68.93,78.42,54.74,9.48,29.3,39.16,94.55
,Sri Lanka,89.48,25.59,59.85,72.98,32.95,29.6,55.54,58.38,59.11
,Sweden,180.52,112.75,52.79,69.41,70.11,9.61,30.04,17.45,73.58
,Switzerland,196.08,127.76,78.82,73.23,122.67,9.11,29.12,21.31,79.24
,Taiwan,146.59,74.16,83.78,86.89,58.77,23.16,32.03,64.2,84.38
,Thailand,104.54,39.87,58.71,78.44,49.86,21.72,38.45,74.04,69.45
,Turkey,126.46,44.44,60.14,69.9,35.66,8.89,44.45,68.63,93.26
,Ukraine,103.32,33.14,50.96,51.13,30.94,13.42,38.44,65.55,70.69
,United Arab Emirates,158.32,100.53,84.48,66.13,63.58,5.38,37.17,52.99,45.23
,United Kingdom,166.73,100.46,56.36,74.88,65.33,9.82,34.75,40.63,87.71
,United States,176.77,119.1,53.27,69.23,70.95,3.54,32.66,35.74,76.75
,Uruguay,127.01,39.82,47.67,66.15,54.91,15.84,40.37,45.56,98.04
,Vietnam,85.1,30.22,51.78,55.24,38.17,22.55,29.65,86.29,71.24
